maxl,avgl,region,rrate,ind,catl,plts,pltrs,ots,blcl,status,trf,ur,cmt
279,40,se,0,type3,type1,FALSE,FALSE,TRUE,type2,Type3,Type1,FALSE,type2
605,31,sw,0,type1,type1,FALSE,FALSE,TRUE,type2,Type4,Type1,TRUE,type2
523,49,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type2
402,47,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type2
242,54,sw,0,type5,type1,FALSE,FALSE,FALSE,type2,Type5,Type1,FALSE,type1
275,32,nw,0,type3,type2,TRUE,FALSE,FALSE,type1,Type4,Type3,FALSE,type2
548,40,se,0,type3,type2,FALSE,FALSE,FALSE,type1,Type2,Type1,FALSE,type2
288,27,nw,0,type3,type2,FALSE,FALSE,FALSE,type1,Type4,Type2,TRUE,type1
669,37,sw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type4,TRUE,type2
433,29,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type1
443,52,se,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type2,FALSE,type2
454,38,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type4,TRUE,type1
372,45,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type2,Type4,FALSE,type1
380,31,ne,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type4,TRUE,type1
545,50,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type1,FALSE,type1
384,46,ne,0,type3,type5,FALSE,FALSE,FALSE,type1,Type3,Type4,TRUE,type2
569,25,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type2,TRUE,type1
304,42,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type1,Type4,FALSE,type2
132,39,se,0,type5,type5,FALSE,FALSE,FALSE,type1,Type5,Type1,FALSE,type2
329,51,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type5,TRUE,type2
438,34,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type2,Type3,TRUE,type1
343,35,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type2,Type5,FALSE,type2
566,39,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type3,Type3,FALSE,type2
352,44,ne,0,type1,type5,FALSE,FALSE,FALSE,type2,Type4,Type5,TRUE,type2
375,45,nw,0,type3,type5,TRUE,FALSE,FALSE,type2,Type5,Type3,TRUE,type1
375,44,se,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type1
461,37,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type5,Type3,TRUE,type2
361,30,se,0,type5,type5,FALSE,FALSE,FALSE,type2,Type3,Type1,TRUE,type2
336,55,sw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type1
308,55,se,0,type3,type5,FALSE,FALSE,FALSE,type2,Type3,Type4,FALSE,type1
482,57,se,0,type2,type5,TRUE,FALSE,FALSE,type2,Type3,Type2,TRUE,type2
474,32,nw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,TRUE,type2
321,32,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type1,Type4,FALSE,type2
521,54,ne,0,type5,type5,FALSE,FALSE,FALSE,type5,Type4,Type4,TRUE,type1
500,34,nw,0,type1,type5,FALSE,FALSE,FALSE,type5,Type5,Type4,FALSE,type2
607,28,nw,0,type3,type5,FALSE,FALSE,FALSE,type5,Type5,Type1,FALSE,type2
424,51,se,0,type2,type5,TRUE,FALSE,FALSE,type5,Type3,Type5,FALSE,type1
438,43,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type4,Type2,TRUE,type2
295,48,se,0,type2,type3,FALSE,FALSE,FALSE,type5,Type2,Type5,FALSE,type1
106,48,sw,0,type4,type3,FALSE,FALSE,FALSE,type5,Type5,Type4,TRUE,type2
494,45,sw,0,type3,type3,FALSE,FALSE,FALSE,type1,Type3,Type3,TRUE,type1
461,26,nw,0,type3,type3,FALSE,FALSE,FALSE,type1,Type4,Type1,TRUE,type1
481,49,se,0,type2,type3,FALSE,FALSE,FALSE,type1,Type4,Type3,FALSE,type2
502,32,nw,0,type2,type4,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type1
611,54,se,0,type1,type4,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type2
225,31,ne,0,type2,type4,FALSE,FALSE,FALSE,type1,Type2,Type4,FALSE,type2
332,40,se,0,type2,type4,FALSE,FALSE,FALSE,type1,Type2,Type3,FALSE,type2
323,48,nw,0,type2,type3,FALSE,FALSE,FALSE,type1,Type1,Type2,TRUE,type1
329,32,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type4,TRUE,type2
405,60,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type2,TRUE,type2
400,54,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type2,Type1,FALSE,type2
465,48,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type4,TRUE,type1
279,62,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type5,Type5,FALSE,type2
129,34,ct,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type2
483,35,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type3,FALSE,type2
478,49,se,0,type1,type2,FALSE,FALSE,FALSE,type2,Type1,Type5,TRUE,type2
526,26,nw,0,type5,type5,FALSE,FALSE,TRUE,type2,Type4,Type3,FALSE,type1
553,44,nw,0,type1,type5,FALSE,FALSE,TRUE,type2,Type2,Type3,FALSE,type1
433,34,sw,0,type1,type5,TRUE,FALSE,TRUE,type2,Type4,Type1,FALSE,type2
488,52,nw,0,type1,type5,FALSE,FALSE,TRUE,type2,Type2,Type2,FALSE,type2
329,64,nw,0,type2,type5,FALSE,FALSE,TRUE,type2,Type1,Type4,TRUE,type2
346,40,nw,0,type2,type5,FALSE,FALSE,TRUE,type2,Type3,Type2,TRUE,type2
506,39,se,0,type2,type1,FALSE,FALSE,TRUE,type2,Type1,Type5,TRUE,type1
352,44,sw,0,type1,type1,FALSE,FALSE,TRUE,type2,Type5,Type5,FALSE,type1
530,44,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type5,Type5,TRUE,type1
132,27,sw,0,type5,type1,FALSE,FALSE,FALSE,type2,Type5,Type2,TRUE,type1
676,63,nw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type3,Type2,FALSE,type2
474,48,nw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type2,Type3,FALSE,type2
419,48,nw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,FALSE,type1
579,57,nw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type5,Type3,TRUE,type2
366,56,se,0,type3,type1,FALSE,FALSE,FALSE,type2,Type3,Type2,TRUE,type2
299,35,ct,0,type2,type1,FALSE,FALSE,FALSE,type5,Type4,Type4,TRUE,type2
442,62,sw,0,type3,type1,TRUE,FALSE,FALSE,type1,Type1,Type3,TRUE,type1
528,30,sw,0,type2,type1,TRUE,FALSE,FALSE,type2,Type3,Type5,TRUE,type2
513,46,nw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type2,Type2,FALSE,type1
344,53,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type2,FALSE,type2
443,61,nw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type1
126,36,sw,0,type3,type1,FALSE,FALSE,FALSE,type2,Type1,Type2,FALSE,type1
448,55,ne,0,type2,type1,TRUE,FALSE,FALSE,type2,Type3,Type5,FALSE,type2
357,36,ne,0,type1,type1,TRUE,FALSE,FALSE,type2,Type3,Type3,FALSE,type1
388,43,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type5,Type4,FALSE,type2
235,51,ct,0,type1,type2,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type2
593,44,sw,0,type2,type2,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type1
308,56,se,0,type4,type2,FALSE,FALSE,FALSE,type1,Type1,Type2,TRUE,type2
628,34,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type2,Type5,TRUE,type2
221,45,se,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,TRUE,type2
367,61,ne,0,type1,type5,FALSE,FALSE,FALSE,type1,Type3,Type3,TRUE,type2
458,31,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type2,Type1,FALSE,type1
389,51,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type2,FALSE,type1
373,37,sw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type4,FALSE,type1
269,21,ne,0,type2,type5,FALSE,FALSE,FALSE,type5,Type1,Type5,TRUE,type1
576,55,nw,0,type2,type5,TRUE,FALSE,FALSE,type1,Type5,Type2,TRUE,type2
315,35,ne,0,type2,type5,FALSE,FALSE,FALSE,type5,Type2,Type1,FALSE,type2
434,48,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type3,Type4,TRUE,type2
515,57,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type5,FALSE,type1
328,45,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type5,Type1,TRUE,type1
381,60,nw,0,type3,type5,FALSE,FALSE,FALSE,type5,Type1,Type5,FALSE,type2
594,46,se,0,type4,type5,FALSE,FALSE,FALSE,type1,Type5,Type5,TRUE,type1
95,55,sw,0,type5,type5,FALSE,FALSE,FALSE,type2,Type4,Type3,TRUE,type2
559,54,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type4,Type1,TRUE,type2
427,38,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type1,Type3,TRUE,type1
292,49,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type2
461,32,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type4,Type3,FALSE,type1
418,38,sw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type2
464,32,se,0,type2,type5,TRUE,FALSE,FALSE,type5,Type2,Type1,FALSE,type2
304,49,se,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type3,TRUE,type2
419,47,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type2,Type4,TRUE,type2
498,51,nw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type1
523,60,sw,0,type1,type5,FALSE,FALSE,FALSE,type5,Type2,Type4,FALSE,type1
347,48,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type3,Type5,TRUE,type1
354,33,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type3,Type4,FALSE,type2
119,41,sw,0,type1,type5,TRUE,FALSE,FALSE,type1,Type1,Type5,TRUE,type1
567,36,sw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,TRUE,type2
505,30,nw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type4,Type4,FALSE,type1
399,53,se,0,type1,type3,FALSE,FALSE,FALSE,type2,Type3,Type5,FALSE,type2
412,56,sw,0,type2,type3,FALSE,FALSE,FALSE,type2,Type5,Type4,FALSE,type1
344,58,sw,0,type2,type3,FALSE,FALSE,FALSE,type1,Type1,Type5,TRUE,type1
505,42,se,0,type2,type3,FALSE,FALSE,FALSE,type1,Type1,Type1,FALSE,type1
587,46,sw,0,type2,type3,FALSE,FALSE,FALSE,type1,Type5,Type2,TRUE,type2
639,42,sw,0,type2,type4,TRUE,FALSE,FALSE,type1,Type1,Type2,FALSE,type1
245,42,ne,0,type2,type4,FALSE,FALSE,FALSE,type1,Type5,Type3,FALSE,type2
200,40,ne,0,type3,type4,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type1
545,47,se,0,type2,type4,FALSE,FALSE,FALSE,type1,Type5,Type2,TRUE,type2
324,33,nw,0,type2,type3,FALSE,FALSE,FALSE,type1,Type4,Type5,TRUE,type1
311,43,se,0,type1,type5,TRUE,FALSE,FALSE,type1,Type4,Type3,TRUE,type2
398,31,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type3,Type5,FALSE,type1
393,44,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type4,Type4,FALSE,type1
461,59,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type1,TRUE,type2
370,45,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type3,Type4,TRUE,type1
452,56,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type3,Type1,FALSE,type1
593,51,nw,0,type1,type1,FALSE,FALSE,FALSE,type1,Type4,Type1,FALSE,type1
126,43,sw,0,type3,type2,FALSE,FALSE,FALSE,type5,Type4,Type3,FALSE,type2
277,56,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type3,FALSE,type1
430,54,se,0,type2,type5,TRUE,FALSE,FALSE,type1,Type1,Type4,TRUE,type1
529,49,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type3,Type4,FALSE,type1
169,44,ct,0,type1,type5,FALSE,FALSE,FALSE,type5,Type1,Type2,TRUE,type1
263,46,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type2,TRUE,type1
441,33,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type1,Type4,FALSE,type2
509,35,ne,0,type5,type1,FALSE,FALSE,FALSE,type5,Type5,Type2,FALSE,type1
556,37,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,FALSE,type1
210,53,se,0,type1,type1,FALSE,FALSE,FALSE,type5,Type5,Type3,TRUE,type1
540,28,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type2,Type3,FALSE,type1
190,43,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type2
600,34,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type5,Type2,FALSE,type1
379,35,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type1,FALSE,type2
307,29,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type2,Type2,TRUE,type2
548,45,nw,0,type2,type1,TRUE,FALSE,FALSE,type2,Type5,Type2,FALSE,type2
512,58,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type2,Type5,TRUE,type2
521,36,nw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type5,Type2,FALSE,type2
429,32,se,0,type2,type1,FALSE,FALSE,FALSE,type5,Type1,Type4,FALSE,type2
399,37,nw,0,type1,type1,FALSE,FALSE,FALSE,type1,Type5,Type5,TRUE,type2
345,57,nw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type5,Type2,FALSE,type2
276,51,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type3,Type3,FALSE,type2
251,30,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type3,FALSE,type1
105,50,ne,0,type3,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,TRUE,type2
264,33,sw,0,type1,type1,TRUE,FALSE,FALSE,type2,Type1,Type4,FALSE,type2
408,27,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,TRUE,type1
240,43,sw,0,type3,type2,FALSE,FALSE,FALSE,type2,Type5,Type3,TRUE,type1
522,30,se,0,type1,type2,TRUE,FALSE,FALSE,type2,Type3,Type5,FALSE,type1
634,40,nw,0,type3,type2,FALSE,FALSE,FALSE,type2,Type5,Type5,TRUE,type2
384,48,se,0,type2,type5,FALSE,FALSE,FALSE,type5,Type3,Type1,FALSE,type1
315,27,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type3,FALSE,type2
389,28,ne,0,type5,type5,FALSE,FALSE,FALSE,type1,Type1,Type5,FALSE,type2
542,35,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type3,TRUE,type1
348,56,nw,0,type2,type5,TRUE,FALSE,FALSE,type5,Type5,Type3,TRUE,type1
376,38,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type3,FALSE,type1
216,53,se,0,type5,type5,FALSE,FALSE,FALSE,type1,Type5,Type1,TRUE,type2
503,51,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type1
357,41,nw,0,type1,type5,FALSE,FALSE,FALSE,type5,Type2,Type3,TRUE,type1
140,28,nw,0,type3,type5,FALSE,FALSE,FALSE,type1,Type2,Type5,FALSE,type2
676,62,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type2,FALSE,type2
504,34,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type2,Type4,TRUE,type2
391,58,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type4,FALSE,type1
188,23,ct,0,type4,type5,FALSE,FALSE,FALSE,type1,Type1,Type3,FALSE,type1
260,39,se,0,type1,type5,TRUE,FALSE,FALSE,type1,Type4,Type5,FALSE,type1
552,27,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type2,Type2,TRUE,type2
548,45,sw,0,type3,type5,TRUE,FALSE,FALSE,type2,Type4,Type1,TRUE,type2
110,51,sw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type2,FALSE,type2
338,33,se,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type5,TRUE,type2
522,34,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type1,Type1,FALSE,type2
532,59,sw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type1
113,35,sw,0,type3,type5,FALSE,FALSE,FALSE,type2,Type5,Type3,TRUE,type1
577,27,sw,0,type1,type5,TRUE,FALSE,FALSE,type2,Type2,Type3,FALSE,type1
480,29,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type4,Type1,FALSE,type1
383,37,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type5,Type5,TRUE,type2
376,28,se,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type4,FALSE,type2
352,61,ne,0,type4,type5,FALSE,FALSE,FALSE,type2,Type5,Type2,TRUE,type2
422,55,se,0,type3,type5,FALSE,FALSE,FALSE,type2,Type1,Type5,TRUE,type1
330,22,sw,0,type3,type5,FALSE,FALSE,FALSE,type5,Type1,Type2,TRUE,type1
288,45,se,0,type2,type5,FALSE,FALSE,FALSE,type1,Type4,Type2,FALSE,type1
467,41,nw,0,type2,type3,FALSE,FALSE,FALSE,type2,Type3,Type5,TRUE,type1
533,41,nw,0,type2,type3,FALSE,FALSE,FALSE,type2,Type5,Type4,TRUE,type1
284,31,se,0,type2,type3,FALSE,FALSE,FALSE,type2,Type5,Type2,FALSE,type1
456,37,nw,0,type1,type3,TRUE,FALSE,FALSE,type2,Type1,Type1,TRUE,type1
627,42,ne,0,type1,type3,FALSE,FALSE,FALSE,type1,Type2,Type1,TRUE,type2
329,47,nw,0,type3,type4,FALSE,FALSE,FALSE,type1,Type5,Type3,FALSE,type2
567,30,nw,0,type1,type4,FALSE,FALSE,FALSE,type1,Type1,Type5,FALSE,type1
479,44,ne,0,type2,type4,FALSE,FALSE,FALSE,type1,Type1,Type4,TRUE,type1
566,33,se,0,type2,type4,FALSE,FALSE,FALSE,type1,Type2,Type4,TRUE,type2
352,35,nw,0,type1,type3,TRUE,FALSE,FALSE,type1,Type2,Type2,FALSE,type2
520,49,se,0,type3,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,TRUE,type2
295,30,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type3,TRUE,type1
293,46,ne,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,TRUE,type2
421,54,sw,0,type3,type5,TRUE,FALSE,FALSE,type1,Type3,Type5,FALSE,type1
345,43,nw,0,type5,type5,FALSE,FALSE,FALSE,type1,Type5,Type1,TRUE,type2
461,46,sw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type5,Type5,FALSE,type2
400,30,nw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type5,Type3,FALSE,type1
452,63,nw,0,type2,type1,FALSE,FALSE,FALSE,type1,Type4,Type5,TRUE,type1
164,41,sw,0,type4,type2,FALSE,FALSE,FALSE,type1,Type2,Type3,TRUE,type1
497,36,se,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,FALSE,type2
550,33,se,0,type4,type5,FALSE,FALSE,FALSE,type1,Type3,Type4,TRUE,type2
261,27,ne,0,type1,type5,TRUE,FALSE,FALSE,type1,Type1,Type1,FALSE,type2
538,55,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type2,Type4,TRUE,type2
481,44,nw,0,type1,type5,TRUE,FALSE,FALSE,type1,Type4,Type3,TRUE,type2
77,34,ct,0,type5,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,TRUE,type2
530,41,nw,0,type2,type1,TRUE,FALSE,FALSE,type2,Type5,Type5,FALSE,type1
557,53,se,0,type3,type1,FALSE,FALSE,FALSE,type2,Type2,Type1,TRUE,type2
497,47,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type3,Type5,FALSE,type2
390,58,sw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type4,Type4,FALSE,type1
460,34,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type5,Type2,TRUE,type2
385,54,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type4,Type4,TRUE,type2
277,50,sw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,TRUE,type2
454,41,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type1,Type3,FALSE,type1
484,30,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type4,Type2,FALSE,type1
